QtrEMPLID,PayCode,Pay_Number
CANP_FY2022_Q2,LOAD,9959
CANP_FY2022_Q3,LOAD,9964
CANP_FY2023_Q1,LOAD,10012
CANP_FY2023_Q2,LOAD,10015
CANP_FY2023_Q3,LOAD,10027
CANP_FY2023_Q4,LOAD,10039
CANP_FY2024_Q1,LOAD,10051
CANP_FY2024_Q2,LOAD,10071
CANP_FY2024_Q3,LOAD,10075
CORG_FY2022_Q2,LOAD,9960
CORG_FY2022_Q3,LOAD,9969
CORG_FY2023_Q1,LOAD,9999
CORG_FY2024_Q1,LOAD,10057
ZISG_FY2022_Q2,LOAD,9952
ZISG_FY2022_Q4,LOAD,9988
ZISG_FY2023_Q1,LOAD,10011
ZISG_FY2024_Q2,LOAD,10063
ZISG_FY2024_Q3,LOAD,10078
ALDD_FY2024_Q2,LOADING,73951
ALDD_FY2024_Q3,LOADING,74125
ALDD_FY2024_Q4,LOADING,76463
ANWL_FY2024_Q4,MEAL4,76464
ARMS_FY2022_Q3,LOADING,61603
ARMS_FY2022_Q4,LOADING,64123
ARMS_FY2023_Q1,LOADING,65509
ARMS_FY2023_Q2,LOADING,65609
ARMS_FY2023_Q3,LOADING,66928
ARMS_FY2023_Q4,LOADING,68265
ARMS_FY2024_Q1,LOADING,70262
ARMS_FY2024_Q2,LOADING,74028
ARMS_FY2024_Q3,LOADING,74196
BARG_FY2022_Q3,LOADING,61604
BARG_FY2022_Q4,LOADING,63400
BARG_FY2023_Q1,LOADING,64230
BARG_FY2023_Q2,LOADING,66834
BARG_FY2023_Q3,LOADING,66929
BARG_FY2024_Q1,LOADING,71756
BARG_FY2024_Q2,LOADING,74030
BARG_FY2024_Q3,LOADING,74198
BARG_FY2024_Q4,LOADING,76154
BART_FY2022_Q1,LOADING,59823
BART_FY2022_Q3,LOADING,61605
BART_FY2023_Q1,LOADING,65182
BART_FY2023_Q2,LOADING,66835
BART_FY2023_Q3,LOADING,66930
BART_FY2024_Q1,LOADING,70979
BART_FY2024_Q3,LOADING,74197
BEAA_FY2022_Q3,LOADING,61606
BEAA_FY2022_Q4,LOADING,64124
BEAA_FY2023_Q1,LOADING,64231
BEAA_FY2023_Q2,LOADING,66548
BEAA_FY2023_Q3,LOADING,66931
BEAA_FY2023_Q4,LOADING,68475
BEAA_FY2024_Q2,LOADING,74031
BEAA_FY2024_Q3,LOADING,74199
BEAA_FY2024_Q4,LOADING,76435
BENL_FY2022_Q1,LOADING,60388
BENL_FY2022_Q3,LOADING,61607
BENL_FY2022_Q4,LOADING,63301
BENL_FY2023_Q2,LOADING,65610
BENL_FY2023_Q3,LOADING,66932
BENL_FY2023_Q4,LOADING,68610
BENL_FY2024_Q1,LOADING,72077
BENL_FY2024_Q2,LOADING,73457
BENL_FY2024_Q3,LOADING,74200
BENL_FY2024_Q4,LOADING,76156
BLAM_FY2024_Q4,LOADING,77091
BOTA_FY2024_Q3,VEHICLE,74695
BOTA_FY2024_Q4,VEHICLE,76046
BROD_FY2024_Q2,LOADING,74033
BROD_FY2024_Q3,LOADING,74201
CADD_FY2022_Q4,VEHICLE,63877
CADD_FY2023_Q1,VEHICLE,64307
CADD_FY2023_Q2,LOADING,66840
CADD_FY2023_Q2,VEHICLE,65693
CADD_FY2023_Q3,LOADING,66935
CADD_FY2023_Q3,VEHICLE,66935
CADD_FY2023_Q4,VEHICLE,68245
CADD_FY2024_Q1,LOADING,70556
CADD_FY2024_Q1,VEHICLE,70194
CADD_FY2024_Q2,LOADING,74035
CADD_FY2024_Q2,VEHICLE,72236
CADD_FY2024_Q3,LOADING,74203
CADD_FY2024_Q3,VEHICLE,74203
CADD_FY2024_Q4,LOADING,76159
CADD_FY2024_Q4,VEHICLE,76050
CANS_FY2022_Q3,VEHICLE,61765
CANS_FY2022_Q4,VEHICLE,62969
CANS_FY2023_Q1,LOADING,64232
CANS_FY2023_Q1,VEHICLE,64232
CANS_FY2023_Q2,LOADING,66126
CANS_FY2023_Q2,VEHICLE,65694
CANS_FY2023_Q3,LOADING,66936
CANS_FY2023_Q3,VEHICLE,66936
CANS_FY2023_Q4,VEHICLE,68246
CANS_FY2024_Q1,VEHICLE,70244
CANS_FY2024_Q2,LOADING,74036
CANS_FY2024_Q2,VEHICLE,72237
CANS_FY2024_Q3,LOADING,74204
CANS_FY2024_Q3,VEHICLE,74204
CANS_FY2024_Q4,LOADING,76160
CANS_FY2024_Q4,VEHICLE,76051
CHOS_FY2023_Q1,LOADING,65405
CHOS_FY2023_Q2,LOADING,65611
CHOS_FY2023_Q2,TAFE,65911
CHOS_FY2023_Q3,LOADING,68031
CHOS_FY2023_Q3,TAFE,67428
CHOS_FY2023_Q4,LOADING,68276
CHOS_FY2023_Q4,TAFE,68382
CHOS_FY2024_Q1,LOADING,70266
CHOS_FY2024_Q1,TAFE,70750
CHOS_FY2024_Q2,LOADING,73003
CHOS_FY2024_Q2,TAFE,72335
CHOS_FY2024_Q3,TAFE,75310
CHOS_FY2024_Q3,WCOMP-EX,75487
CHOS_FY2024_Q4,LOADING,76161
CLAB_FY2024_Q1,MEAL4,70267
CLAB_FY2024_Q2,LOADING,73955
CLAB_FY2024_Q3,LOADING,74130
CLAB_FY2024_Q3,TAFE,74741
CLAB_FY2024_Q4,TAFE,76297
COLJ_FY2022_Q1,LOADING,60222
COLJ_FY2022_Q2,LOADING,60483
COLJ_FY2022_Q3,LOADING,61608
COLJ_FY2022_Q4,LOADING,63302
COLJ_FY2023_Q1,LOADING,65185
COLJ_FY2023_Q2,LOADING,65612
COLJ_FY2023_Q4,LOADING,69672
COLJ_FY2024_Q1,LOADING,71966
COLJ_FY2024_Q2,LOADING,74037
COLJ_FY2024_Q3,LOADING,74205
COLJ_FY2024_Q4,WCOMP-EX,76677
CRIJA_FY2024_Q1,MEAL4,70566
CRIJA_FY2024_Q3,LOADING,74455
DOKI_FY2023_Q2,LOADING,66844
DOKI_FY2023_Q3,LOADING,66939
DOKI_FY2024_Q1,MEAL4,70567
DOKI_FY2024_Q2,LOADING,74040
DOKI_FY2024_Q3,LOADING,74208
DOKI_FY2024_Q4,LOADING,77528
DONR_FY2022_Q3,LOADING,61629
DONR_FY2022_Q4,LOADING,63921
DONR_FY2023_Q1,LOADING,64337
DONR_FY2023_Q1,TAFE,64772
DONR_FY2023_Q2,LOADING,65819
DONR_FY2023_Q2,TAFE,65739
DONR_FY2023_Q3,LOADING,66969
DONR_FY2023_Q3,TAFE,67330
DONR_FY2023_Q4,MEAL4,68842
DONR_FY2023_Q4,TAFE,68489
DONR_FY2024_Q1,LOADING,70403
DONR_FY2024_Q1,TAFE,70403
DONR_FY2024_Q2,LOADING,73307
DONR_FY2024_Q2,TAFE,72246
DONR_FY2024_Q3,LOADING,74135
DONR_FY2024_Q3,TAFE,74606
DONR_FY2024_Q4,LOADING,76302
DONR_FY2024_Q4,TAFE,76560
DUDP_FY2022_Q1,WCOMP-EX,60141
ELLJ_FY2024_Q4,LOADING,76478
ELLM_FY2022_Q3,TAFE,62187
ELLM_FY2022_Q4,TAFE,63135
ELLM_FY2023_Q1,LOADING,64778
ELLM_FY2023_Q1,TAFE,64441
ELLM_FY2023_Q2,LOADING,66869
ELLM_FY2023_Q2,TAFE,65740
ELLM_FY2023_Q3,LOADING,66972
ELLM_FY2023_Q3,MEAL4,67257
ELLM_FY2023_Q3,TAFE,67438
ELLM_FY2023_Q4,LOADING,68643
ELLM_FY2023_Q4,TAFE,68147
ELLM_FY2024_Q1,MEAL4,70406
ELLM_FY2024_Q1,TAFE,70406
ELLM_FY2024_Q2,LOADING,73470
ELLM_FY2024_Q2,TAFE,72250
ELLM_FY2024_Q3,LOADING,74138
ELLM_FY2024_Q3,TAFE,74755
ELLM_FY2024_Q4,LOADING,76479
ELLM_FY2024_Q4,TAFE,76307
ELLR_FY2023_Q2,LOADING,66868
ELLR_FY2024_Q2,LOADING,73176
ELLR_FY2024_Q3,LOADING,74139
ELLR_FY2024_Q4,LOADING,76308
ELLT_FY2022_Q1,MEAL4,59624
ELLT_FY2022_Q2,MEAL4,60502
ELLT_FY2022_Q3,MEAL4,61771
ELLT_FY2022_Q4,MEAL4,62907
ELLT_FY2023_Q1,MEAL4,64246
ELLT_FY2023_Q2,MEAL4,65634
ELLT_FY2023_Q3,MEAL4,67043
ELLT_FY2023_Q4,MEAL4,68149
ELLT_FY2024_Q1,MEAL4,70127
ELLT_FY2024_Q2,MEAL4,72251
ELLT_FY2024_Q3,MEAL4,74261
ELLT_FY2024_Q4,MEAL4,76067
FERP_FY2022_Q2,MEAL4,60901
FINM_FY2023_Q4,TAFE,68497
FINM_FY2024_Q1,TAFE,70410
FINM_FY2024_Q2,LOADING,73967
FINM_FY2024_Q2,TAFE,72349
FINM_FY2024_Q3,LOADING,74143
FINM_FY2024_Q3,TAFE,74760
FINM_FY2024_Q4,TAFE,76312
FLK_FY2022_Q1,VEHICLE,59522
FLK_FY2022_Q2,VEHICLE,60558
FLK_FY2022_Q3,LOADING,61609
FLK_FY2022_Q3,VEHICLE,61609
FLK_FY2022_Q4,VEHICLE,62971
FLK_FY2023_Q1,LOADING,64522
FLK_FY2023_Q1,VEHICLE,64311
FLK_FY2023_Q2,LOADING,66845
FLK_FY2023_Q2,VEHICLE,65697
FLK_FY2023_Q3,LOADING,66940
FLK_FY2023_Q3,VEHICLE,66940
FLK_FY2023_Q4,LOADING,70041
FLK_FY2023_Q4,VEHICLE,68250
FLK_FY2024_Q1,VEHICLE,70247
